// Initial random seed:
1605774194678

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeTreeSeq();
initializeMutationType(1, 0.5, "f", 0.15);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElementType(2, m2, 1);
initializeGenomicElement(g1, 49999, 49999);
initializeGenomicElement(g2, 0, 49998);
initializeGenomicElement(g2, 50000, 99999);
initializeMutationRate(c(0, 1e-05, 0), c(49998, 49999, 99999));
initializeRecombinationRate(1e-07);
#WARNING (SLiMSim::RunInitializeCallbacks): with tree-sequence recording enabled and a non-zero mutation rate, a neutral mutation type was defined; this is legal, but usually undesirable, since neutral mutations can be overlaid later using the tree-sequence information.

// Starting run at generation <start>:
1 

"0: 10000, 0"
"1: 9440, 0"
"2: 8834, 0"
"3: 8334, 0"
"4: 7846, 0"
"5: 7414, 0"
"6: 7044, 0"
"7: 6746, 7.4118e-05"
"8: 6378, 7.83945e-05"
"9: 6124, 0"
"10: 5778, 0"
"11: 5526, 0"
"12: 5230, 0"
"13: 4988, 0"
"14: 4732, 0"
"15: 4440, 0"
"16: 4272, 0"
"17: 4050, 0"
"18: 3902, 0"
"19: 3640, 0"
"20: 3448, 0"
"21: 3252, 0"
"22: 3086, 0"
"23: 2966, 0"
"24: 2774, 0"
"25: 2620, 0"
"26: 2494, 0"
"27: 2312, 0"
"28: 2138, 0"
"29: 2012, 0"
"30: 1980, 0"
"31: 1876, 0"
"32: 1754, 0"
"33: 1678, 0"
"34: 1536, 0.000325521"
"35: 1536, 0"
"36: 1496, 0"
"37: 1438, 0"
"38: 1330, 0"
"39: 1198, 0"
"40: 1122, 0"
"41: 1068, 0"
"42: 1028, 0"
"43: 950, 0"
"44: 854, 0"
"45: 836, 0"
"46: 770, 0"
"47: 722, 0"
"48: 634, 0"
"49: 584, 0"
"50: 562, 0"
"51: 554, 0"
"52: 530, 0"
"53: 484, 0"
"54: 428, 0"
"55: 400, 0"
"56: 368, 0"
"57: 306, 0"
"58: 310, 0"
"59: 294, 0"
"60: 290, 0"
"61: 290, 0"
"62: 274, 0"
"63: 276, 0"
"64: 284, 0"
"65: 272, 0"
"66: 256, 0"
"67: 220, 0"
"68: 202, 0"
"69: 206, 0"
"70: 190, 0"
"71: 186, 0"
"72: 166, 0"
"73: 168, 0"
"74: 148, 0"
"75: 148, 0"
"76: 130, 0"
"77: 124, 0"
"78: 116, 0"
"79: 112, 0"
"80: 112, 0"
"81: 122, 0"
"82: 112, 0"
"83: 124, 0"
"84: 136, 0"
"85: 148, 0"
"86: 162, 0"
"87: 160, 0"
"88: 170, 0"
"89: 172, 0"
"90: 156, 0"
"91: 162, 0"
"92: 150, 0"
"93: 136, 0"
"94: 138, 0"
"95: 116, 0"
"96: 118, 0"
"97: 144, 0"
"98: 110, 0"
"99: 102, 0"
"100: 102, 0"
"101: 92, 0"
"102: 88, 0"
"103: 90, 0"
"104: 82, 0"
"105: 78, 0"
"106: 70, 0"
"107: 70, 0"
"108: 66, 0"
"109: 60, 0"
"110: 60, 0"
"111: 66, 0"
"112: 52, 0"
"113: 54, 0"
"114: 58, 0"
"115: 64, 0"
"116: 66, 0"
"117: 56, 0"
"118: 52, 0"
"119: 50, 0"
"120: 46, 0"
"121: 44, 0"
"122: 38, 0"
"123: 42, 0"
"124: 36, 0"
"125: 36, 0"
"126: 42, 0"
"127: 42, 0"
"128: 38, 0"
"129: 34, 0"
"130: 34, 0"
"131: 20, 0"
"132: 18, 0"
"133: 16, 0"
"134: 14, 0"
"135: 12, 0"
"136: 8, 0"
"137: 4, 0"
"138: 4, 0"
"139: 6, 0"
"140: 8, 0"
"141: 12, 0"
"142: 14, 0"
"143: 16, 0"
"144: 8, 0"
"145: 12, 0"
"146: 10, 0"
"147: 10, 0"
"148: 6, 0"
"149: 4, 0"
"150: 4, 0"
"151: 4, 0"
"152: 2, 0"
"153: 2, 0"
"154: 2, 0"
"155: 2, 0"
"156: 0"
"extinction in generation 156 - RESTARTING"
"1: 9592, 0"
"2: 9114, 5.48607e-05"
"3: 8690, 5.75374e-05"
"4: 8334, 0.00011999"
"5: 7920, 0.000252525"
"6: 7480, 0.000200535"
"7: 7068, 0.000141483"
"8: 6680, 0.000149701"
"9: 6138, 0"
"10: 5686, 0"
"11: 5424, 0"
"12: 5228, 0"
"13: 4966, 0"
"14: 4758, 0"
"15: 4484, 0"
"16: 4118, 0"
"17: 3894, 0"
"18: 3778, 0"
"19: 3616, 0"
"20: 3488, 0"
"21: 3340, 0"
"22: 3180, 0"
"23: 3056, 0"
"24: 2840, 0"
"25: 2656, 0"
"26: 2536, 0"
"27: 2322, 0"
"28: 2264, 0"
"29: 2146, 0"
"30: 1938, 0"
"31: 1868, 0"
"32: 1762, 0"
"33: 1594, 0"
"34: 1494, 0"
